campaign_type,platform,region,device,age_group,season,campaign_date,budget,impressions,clicks,likes,shares,comments,leads,conversions,customer_rating,revenue,spend,profit,roi,bounce_rate,session_duration_sec
social media,facebook,east,desktop,45-54,summer,2024-02-28,57572.0,840042,18454,23841,1590,3146,5379,397,3.0,2772917.29,57745.28,2715172.01,4701.98,73.96,220.0
affiliate,instagram,south,tablet,18-24,winter,2025-12-18,32589.0,174894,6141,3057,204,409,1311,421,4.0,1948808.64,26266.02,1922542.62,7319.5,38.85,110.0
email,linkedin,east,tablet,18-24,festive,2023-10-09,74885.0,1648897,45234,79408,15115,8432,9525,1581,3.0,12100835.53,65567.66,12035267.87,18355.49,37.54,120.0
affiliate,google ads,south,mobile,25-34,winter,2025-08-23,75798.0,920665,27102,37801,9142,5476,9616,1507,3.2,16571829.25,81058.97,16490770.28,20344.16,21.8,152.0
affiliate,instagram,east,mobile,45-54,festive,2024-02-09,105660.0,2660076,47122,63180,15568,8922,3358,260,3.2,4411801.23,90569.5,4321231.73,4771.18,47.46,87.0
email,google ads,west,tablet,18-24,winter,2024-12-27,61694.0,938043,24054,42841,4589,2423,4736,1817,3.5,14557461.98,62542.76,14494919.22,23176.01,36.6,354.0
email,linkedin,west,desktop,45-54,monsoon,2024-05-08,70959.0,1068518,31164,17849,2911,625,3282,556,3.3,2628847.31,62285.77,2566561.54,4120.62,64.74,49.0
influencer,linkedin,west,tablet,45-54,winter,2025-02-04,25021.0,494455,12528,19839,4634,671,913,104,3.2,383169.82,26720.2,356449.62,1334.01,39.48,107.0
search,x,east,tablet,55+,summer,2024-06-12,39910.0,614198,21161,15672,1984,1191,3335,681,4.8,6441616.3,40429.24,6401187.06,15833.06,50.04,420.0
affiliate,google ads,north,tablet,35-44,summer,2023-08-05,40865.0,459054,8483,11843,1515,514,1958,786,2.9,7009635.91,44806.83,6964829.08,15544.12,65.24,129.0
email,youtube,south,tablet,45-54,monsoon,2024-12-24,27936.0,147800,3900,3648,257,348,618,118,2.9,96763.57,25664.63,71098.94,277.03,32.7,33.0
search,facebook,central,desktop,45-54,festive,2024-08-03,75596.0,1019492,24295,31095,2388,1223,3279,643,4.0,4363909.87,76879.25,4287030.62,5576.32,34.73,239.0
affiliate,facebook,south,mobile,35-44,summer,2023-01-03,149940.0,1354467,25863,12860,1405,764,4405,726,4.3,512137.46,124324.45,387813.01,311.94,61.22,103.0
search,youtube,north,mobile,25-34,winter,2025-11-15,36461.0,336555,7454,11592,2670,606,2369,436,3.9,2346888.95,38042.4,2308846.5500000003,6069.14,50.04,148.0
affiliate,youtube,east,tablet,55+,festive,2024-03-26,86738.0,1728569,43426,63444,15633,8165,9705,3340,4.6,14146504.78,77411.62,14069093.16,18174.39,37.41,113.0
affiliate,x,south,tablet,45-54,monsoon,2024-01-23,53103.0,267069,8593,11028,568,1420,2029,490,3.6,1690378.45,44331.21,1646047.24,3713.07,75.79,250.0
search,x,south,desktop,45-54,festive,2023-04-23,36443.0,799591,21062,35801,2569,3254,3749,960,4.1,10686839.58,32371.56,10654468.02,32913.05,41.0,231.0
email,youtube,central,tablet,18-24,winter,2025-10-19,74355.0,1096568,27816,45263,10520,3792,9594,3543,4.1,40808630.22,73546.41,40735083.81,55386.91,23.38,110.0
influencer,x,central,desktop,35-44,summer,2023-01-09,249735.0,4417080,178599,134627,32568,15828,18428,2562,4.9,1685897.82,221315.99,1464581.83,661.76,66.48,114.0
affiliate,linkedin,north,tablet,55+,festive,2025-10-10,119772.0,1636450,35904,33380,4959,4890,6260,1862,3.8,19170954.87,96133.17,19074821.7,19842.08,68.21,108.0
social media,facebook,east,desktop,25-34,winter,2023-09-19,147755.0,1215867,19406,17741,1287,1358,3223,1048,3.8,5794834.66,148626.6,5646208.0600000005,3798.92,30.76,161.0
affiliate,google ads,south,tablet,35-44,monsoon,2024-08-28,102142.0,1282132,41073,73747,4588,7603,14429,1503,4.5,4675897.83,97953.4,4577944.43,4673.59,23.84,140.0
email,x,west,mobile,18-24,summer,2023-07-29,49711.0,664004,20623,20523,3357,2477,2457,608,3.6,1673389.46,50608.95,1622780.51,3206.51,21.08,102.0
affiliate,x,west,desktop,25-34,monsoon,2023-02-03,106493.0,1031511,22742,38137,6087,4862,3036,451,3.5,3370633.93,93505.56,3277128.37,3504.74,41.52,229.0
influencer,youtube,central,tablet,18-24,summer,2024-05-18,57388.0,670834,24455,26009,5587,2664,2212,769,3.9,4418570.35,56755.52,4361814.83,7685.27,71.62,271.0
social media,google ads,central,mobile,55+,monsoon,2024-01-10,44355.0,571610,22323,16335,2503,2022,4660,400,4.5,1314905.32,48593.22,1266312.1,2605.94,73.33,139.0
influencer,x,central,desktop,35-44,festive,2025-05-13,42368.0,621756,22197,23985,1952,858,4537,680,3.6,4349761.73,46520.4,4303241.33,9250.22,39.47,217.0
search,youtube,south,tablet,45-54,monsoon,2025-10-05,19162.0,285484,3746,4012,377,535,311,51,3.8,62214.15,18701.5,43512.65,232.67,60.08,328.0
search,google ads,east,desktop,45-54,festive,2024-07-11,128201.0,3620022,86418,128576,21377,11298,25954,2253,3.8,25397594.76,102972.91,25294621.85,24564.35,58.38,184.0
influencer,x,east,tablet,25-34,summer,2023-11-11,40705.0,439607,14370,21059,2336,2780,1336,139,5.0,650639.04,33657.14,616981.9,1833.14,50.04,112.0
social media,linkedin,west,desktop,35-44,summer,2025-09-19,175574.0,2060069,56618,32789,1681,2767,5967,1877,4.0,8624130.11,175643.4,8448486.709999999,4810.02,23.25,180.0
search,youtube,south,tablet,18-24,festive,2025-05-13,48571.0,824974,12988,6382,526,837,2170,241,4.0,2960483.37,46458.26,2914025.1100000003,6272.35,28.67,212.0
email,x,central,mobile,45-54,winter,2023-12-23,58370.0,739431,28703,33212,6594,2698,4456,596,4.5,2383965.06,58083.58,2325881.48,4004.37,71.84,232.0
social media,youtube,west,desktop,25-34,summer,2023-02-26,57656.0,550529,24891,22656,2302,1287,9704,2786,3.7,9318042.48,46837.84,9271204.64,19794.26,63.72,175.0
affiliate,instagram,central,tablet,45-54,festive,2025-07-23,157836.0,1347183,12298,6722,615,912,1027,189,4.3,1574735.0,136282.55,1438452.45,1055.49,76.76,69.0
email,google ads,central,mobile,18-24,monsoon,2025-02-28,21683.0,253818,11022,17038,3653,2524,977,86,4.1,732462.85,19632.76,712830.09,3630.82,74.5,296.0
influencer,instagram,south,mobile,45-54,monsoon,2023-12-25,52257.0,698699,10247,11388,1624,1114,902,153,4.3,668758.12,51270.41,617487.71,1204.37,23.16,135.0
email,linkedin,north,tablet,18-24,festive,2024-05-07,27318.0,631330,12165,8626,1844,1057,1314,111,4.0,1630515.58,24015.58,1606500.0,6689.41,24.64,115.0
social media,linkedin,east,desktop,55+,festive,2023-06-11,28200.0,512822,1025,1247,227,50,265,31,4.3,414883.1,24069.37,390813.73,1623.7,74.91,101.0
influencer,facebook,south,tablet,35-44,summer,2023-06-18,120743.0,1229199,56596,27064,5280,2414,3694,655,4.6,4596438.51,113837.83,4482600.68,3937.71,31.61,69.0
social media,google ads,east,mobile,55+,monsoon,2025-07-13,67988.0,284297,10824,16311,2021,2196,4456,396,4.7,527286.53,71814.82,455471.71,634.23,72.26,118.0
search,instagram,east,tablet,45-54,monsoon,2025-02-09,54235.0,498914,16410,24104,3912,3150,4610,495,2.8,976057.75,52060.48,923997.27,1774.85,35.99,413.0
affiliate,linkedin,central,desktop,25-34,summer,2025-07-31,118197.0,862056,34109,26374,3810,3952,1234,172,4.0,654921.14,124712.56,530208.5800000001,425.14,50.04,95.0
search,x,north,tablet,18-24,festive,2024-06-08,26526.0,236957,8118,11863,2886,713,637,92,3.4,474569.64,25654.41,448915.23,1749.86,49.63,172.0
influencer,google ads,north,desktop,25-34,monsoon,2023-09-09,15803.0,177750,3670,4838,1051,713,878,227,4.3,219837.13,17087.3,202749.83,1186.55,57.95,269.0
email,youtube,west,mobile,25-34,monsoon,2023-12-01,70682.0,492038,12330,18941,3073,827,1855,570,4.6,1284251.76,61959.68,1222292.08,1972.72,42.72,124.0
social media,youtube,west,desktop,18-24,winter,2024-04-11,114644.0,689969,20346,8782,521,370,5839,2627,3.5,7094488.37,104923.66,6989564.71,6661.57,79.77,204.0
influencer,x,north,desktop,55+,monsoon,2024-11-18,43246.0,603887,14002,6728,1421,415,350,74,4.5,401775.67,37750.63,364025.04,964.29,35.14,131.0
email,x,central,desktop,55+,festive,2025-11-16,132464.0,2824615,50765,72536,12570,9017,2025,384,4.0,5594342.69,126276.2,5468066.49,4330.24,70.47,460.0
email,instagram,east,mobile,55+,monsoon,2024-06-19,63527.0,332822,8808,4663,537,577,2575,215,3.2,429849.6,57384.62,372464.98,649.07,28.09,196.0
affiliate,youtube,central,desktop,55+,festive,2025-04-12,85755.0,2243594,40618,53013,5385,2117,8095,1893,4.3,16452574.72,86625.26,16365949.46,18892.81,50.04,134.0
search,x,central,desktop,35-44,summer,2025-01-30,19239.0,224900,5907,7883,851,509,956,98,3.1,246052.13,18805.91,227246.22,1208.38,78.59,208.0
search,google ads,north,desktop,25-34,summer,2023-10-05,82856.0,521021,14477,9679,1800,1311,1023,384,3.1,795136.91,87662.05,707474.86,807.05,26.38,123.0
affiliate,x,south,desktop,25-34,summer,2025-04-15,70728.0,984325,14527,8479,807,1011,556,149,3.9,878539.88,74873.08,803666.8,1073.37,78.52,161.0
affiliate,linkedin,east,tablet,55+,winter,2024-05-17,107893.0,2069814,22809,24729,1443,2787,3699,885,4.9,2486067.61,117357.72,2368709.89,2018.37,56.63,89.0
search,google ads,east,mobile,55+,monsoon,2025-12-06,99232.0,953722,14435,19902,3790,2563,1301,459,4.2,2360068.83,100983.55,2259085.2800000003,2237.08,27.56,87.0
email,facebook,central,tablet,25-34,summer,2024-06-22,68292.0,736048,12157,13122,911,761,3432,721,3.4,6054862.46,56416.09,5998446.37,10632.51,62.77,281.0
influencer,linkedin,north,desktop,25-34,festive,2023-08-04,57293.0,1114096,37122,56061,4466,3616,4132,1010,4.2,2561114.19,50709.22,2510404.97,4950.59,42.15,364.0
affiliate,youtube,west,tablet,55+,winter,2024-05-02,18776.0,299502,9025,3998,454,367,378,108,3.6,704585.15,20630.74,683954.41,3315.22,28.99,104.0
social media,x,central,desktop,45-54,winter,2025-05-07,92131.0,1264992,34670,26876,4190,963,4559,694,5.0,5880583.24,96469.26,5784113.98,5995.81,57.95,116.0
search,linkedin,north,desktop,25-34,monsoon,2025-12-15,28459.0,431259,12632,14992,3604,581,2121,460,4.1,1430283.64,23384.52,1406899.12,6016.37,35.75,38.0
search,youtube,south,tablet,18-24,festive,2025-02-06,112574.0,1592539,33791,14596,3452,1507,11145,5056,3.5,57413909.65,107724.95,57306184.7,53196.76,63.44,148.0
email,x,north,desktop,25-34,summer,2025-04-10,105268.0,962455,25524,15834,3303,851,3153,806,4.7,8420344.59,96212.53,8324132.06,8651.82,38.47,127.0
influencer,google ads,east,mobile,45-54,summer,2024-06-21,83763.0,976104,13758,19779,1520,964,2993,1106,4.0,1689207.66,73899.15,1615308.51,2185.83,79.0,261.0
social media,x,south,desktop,18-24,winter,2025-09-12,108445.0,2012052,63550,66727,10848,5374,10087,2187,3.8,4616139.95,100874.04,4515265.91,4476.14,62.77,148.0
email,x,west,desktop,55+,summer,2024-08-22,91173.0,1533916,23135,14492,1672,589,707,79,3.8,186260.13,95407.83,90852.3,95.23,56.02,149.0
search,instagram,east,tablet,18-24,monsoon,2025-06-10,65262.0,494181,14652,9496,2255,702,5131,309,3.9,2352904.49,63579.14,2289325.35,3600.75,24.51,87.0
search,instagram,south,desktop,18-24,monsoon,2025-08-13,48079.0,705115,17941,24496,5749,1591,5137,491,3.3,1216937.75,38706.35,1178231.4,3044.03,48.22,236.0
email,linkedin,central,tablet,35-44,festive,2025-12-28,154798.0,4607867,164700,240426,23338,32585,21681,2868,3.9,44061971.95,149123.12,43912848.830000006,29447.38,23.47,33.0
social media,x,north,mobile,18-24,winter,2024-09-22,122077.0,1771408,20478,18378,2708,1937,1419,208,2.9,2023125.6,132654.42,1890471.18,1425.11,40.48,324.0
influencer,youtube,west,desktop,55+,festive,2024-08-09,43565.0,1135065,32606,52526,7424,5446,1965,760,5.0,7738932.88,35003.03,7703929.85,22009.32,22.47,226.0
influencer,linkedin,south,tablet,35-44,monsoon,2024-06-24,39896.0,197168,5456,2188,172,187,1102,320,3.6,1496049.25,32048.05,1464001.2,4568.14,29.81,170.0
affiliate,youtube,south,mobile,35-44,monsoon,2023-04-21,129390.0,2061181,85577,85289,19424,6415,9852,3161,4.6,23661688.65,126108.64,23535580.01,18662.94,28.01,168.0
social media,youtube,central,mobile,25-34,winter,2024-01-10,162390.0,1306639,60348,83716,9851,11046,2831,1280,4.3,2847650.43,131178.8,2716471.6300000004,2070.82,58.14,116.0
email,instagram,central,mobile,45-54,monsoon,2025-01-12,64906.0,387887,16051,12393,1722,1213,1260,188,4.3,796781.08,60048.15,736732.9299999999,1226.9,73.74,161.0
affiliate,x,north,mobile,35-44,festive,2023-05-06,99458.0,1531937,38134,58698,3897,5700,7118,1345,3.3,23828731.38,105262.94,23723468.44,22537.34,49.07,140.0
affiliate,instagram,central,desktop,25-34,summer,2024-06-05,85357.0,1192093,46684,39637,3974,2586,7300,2549,4.7,27336020.4,89763.51,27246256.89,30353.38,49.03,68.0
influencer,google ads,south,mobile,25-34,summer,2025-03-31,102450.0,1362208,38753,63683,4367,8153,14099,3412,4.7,8797821.13,103335.77,8694485.360000001,8413.82,72.11,77.0
influencer,instagram,south,desktop,18-24,summer,2025-05-06,29385.0,219266,5461,8492,1690,743,1646,554,3.2,3560768.2,26184.78,3534583.4200000004,13498.62,44.52,110.0
search,google ads,north,desktop,35-44,monsoon,2025-10-12,101937.0,565249,14174,18930,3054,2096,3989,865,4.2,2985649.29,84104.02,2901545.27,3449.95,74.66,85.0
affiliate,x,west,desktop,55+,festive,2023-12-28,149036.0,1879896,75396,47330,9869,6886,12788,1781,4.4,18069242.92,148015.3,17921227.62,12107.69,27.52,85.0
affiliate,linkedin,central,tablet,18-24,summer,2025-05-29,80432.0,1297360,53130,28676,2169,2547,3202,444,4.5,1714301.69,76896.37,1637405.3199999998,2129.37,45.46,237.0
email,youtube,north,tablet,55+,festive,2025-11-23,53411.0,491492,11656,19032,2021,714,2132,838,3.8,3701249.13,51200.94,3650048.19,7128.87,29.29,138.0
affiliate,x,central,desktop,25-34,festive,2024-11-01,24820.0,421783,14181,11127,2317,1649,1385,278,4.0,2565537.75,20357.82,2545179.93,12502.22,67.85,247.0
affiliate,youtube,central,mobile,55+,summer,2025-08-05,45502.0,249090,6486,9124,2168,1261,1864,838,3.6,7334989.15,44472.12,7290517.03,16393.46,21.34,388.0
search,google ads,south,desktop,45-54,monsoon,2025-06-29,72465.0,1033394,20522,29418,4214,3182,6740,1175,2.8,7110792.78,58302.45,7052490.33,12096.39,54.66,78.0
social media,youtube,central,desktop,25-34,festive,2025-01-12,140183.0,2228517,72788,96870,20935,3981,21686,8729,4.8,95077203.78,115221.84,94961981.94,82416.65,66.43,52.0
affiliate,facebook,south,mobile,55+,festive,2024-04-04,99314.0,759699,14066,24296,5146,3352,2718,978,4.0,13474233.76,108504.27,13365729.49,12318.16,27.11,183.0
influencer,google ads,central,tablet,35-44,summer,2025-01-08,33297.0,580879,19985,10644,1334,432,4054,1695,4.2,17453428.42,34809.33,17418619.090000004,50040.09,56.74,340.0
search,youtube,south,desktop,35-44,festive,2025-04-13,45403.0,901254,41637,70086,8875,5373,11118,2830,3.5,33120078.55,42160.72,33077917.83,78456.72,54.46,161.0
email,x,east,tablet,35-44,monsoon,2024-10-11,176414.0,2069095,43382,41505,5445,1376,7492,1700,3.7,6264152.6,190705.12,6073447.48,3184.73,50.0,161.0
email,x,west,mobile,18-24,monsoon,2025-10-07,19213.0,238972,8238,14577,2171,1070,1226,314,4.1,2303838.52,20167.57,2283670.95,11323.48,21.52,156.0
influencer,google ads,west,mobile,55+,winter,2023-08-26,127279.0,2219688,54841,38588,1965,2344,14639,5648,3.2,57670380.47,111793.51,57558586.96,51486.52,79.11,51.0
social media,google ads,central,tablet,55+,summer,2024-12-02,28275.0,130630,3677,3672,843,523,1268,389,3.7,3119875.99,28376.51,3091499.4800000004,10894.57,49.77,201.0
influencer,x,central,mobile,25-34,festive,2024-07-12,31259.0,680425,7344,9135,527,764,552,43,3.8,591029.45,25768.68,565260.7699999999,2193.6,24.24,27.0
affiliate,linkedin,west,mobile,25-34,winter,2023-10-20,42151.0,219951,9072,10417,1541,700,1948,223,4.3,945298.99,36740.25,908558.74,2472.92,30.85,296.0
search,youtube,central,tablet,35-44,summer,2025-05-14,171133.0,1300694,16659,27781,2198,1450,5455,1296,5.0,8163806.67,169619.65,7994187.02,4713.01,36.79,147.0
influencer,x,west,tablet,35-44,festive,2025-05-23,134032.0,1810712,28955,51020,12604,5065,3574,437,4.0,5356529.92,141684.56,5214845.36,3680.6,51.58,225.0
search,youtube,north,mobile,35-44,monsoon,2024-07-03,35512.0,211715,4751,4977,728,357,712,298,3.6,1750816.69,32549.55,1718267.14,5278.93,72.7,177.0
affiliate,instagram,central,mobile,25-34,summer,2024-01-08,41192.0,515958,13921,20675,1318,2984,4654,1029,4.6,10040569.33,38909.05,10001660.28,25705.23,68.73,109.0
search,linkedin,north,desktop,18-24,festive,2023-02-27,36980.0,809458,27598,45899,2540,5476,6194,1400,4.0,12675098.44,31764.87,12643333.57,39802.88,66.65,128.0
affiliate,x,south,tablet,35-44,winter,2023-08-02,68088.0,570261,16396,28844,4238,3610,574,131,4.1,1280487.99,68507.46,1211980.53,1769.12,55.64,247.0
search,google ads,north,mobile,25-34,summer,2023-12-10,91433.0,1158436,48482,39649,4430,2095,9458,3309,5.0,15194971.8,95028.57,15099943.23,15889.9,73.55,345.0
social media,x,west,desktop,25-34,festive,2024-03-30,46018.0,1206506,28989,37473,5519,3911,2771,629,3.2,8788115.12,49727.27,8738387.85,17572.63,72.61,101.0
email,facebook,north,mobile,25-34,festive,2023-05-05,39560.0,1042866,39249,26806,3816,1291,9577,1532,3.9,2284307.68,40879.77,2243427.91,5487.87,42.07,126.0
email,youtube,west,mobile,35-44,winter,2024-06-07,225392.0,1495357,54351,36492,6140,5157,16048,1697,4.6,11182140.59,190573.91,10991566.68,5767.61,50.04,232.0
affiliate,linkedin,central,mobile,55+,festive,2024-10-02,23970.0,255162,7583,9899,993,811,356,92,4.1,506919.17,23221.32,483697.85,2082.99,73.23,193.0
search,x,west,mobile,25-34,monsoon,2023-08-21,62844.0,336374,9277,16676,2487,2354,2167,458,4.9,3610857.71,50839.77,3560017.94,7002.43,61.49,73.0
social media,x,north,desktop,18-24,winter,2024-03-12,50747.0,921637,12543,11352,628,551,2660,171,3.3,548339.08,43058.39,505280.69,1173.48,65.36,155.0
email,instagram,west,tablet,55+,monsoon,2024-09-12,25014.0,303621,4525,2812,554,102,1034,335,4.1,318693.58,23933.7,294759.88,1231.57,50.81,55.0
affiliate,x,central,mobile,55+,monsoon,2023-07-11,80923.0,634859,16101,21711,3346,1551,2158,599,4.2,2707378.23,88593.34,2618784.89,2955.96,24.03,137.0
email,instagram,north,mobile,55+,winter,2025-11-26,37479.0,576799,15162,23079,1734,2040,4028,248,4.1,2558131.42,36271.44,2521859.98,6952.74,36.2,159.0
search,facebook,east,mobile,55+,winter,2025-10-28,73917.0,595762,18568,29697,4858,2809,5283,528,4.0,2818954.54,70310.93,2748643.61,3909.27,25.71,120.0
search,linkedin,west,mobile,35-44,monsoon,2023-03-25,24780.0,384414,3369,2800,407,107,746,158,4.0,145114.53,20027.14,125087.39,624.59,51.22,163.0
search,facebook,west,mobile,35-44,monsoon,2024-05-08,94656.0,1194268,43587,28858,4494,2463,7871,2794,2.9,19343692.23,84111.82,19259580.41,22897.59,72.99,281.0
social media,linkedin,west,tablet,35-44,winter,2025-10-01,132210.0,2099940,45734,28986,4737,2393,9600,2006,4.0,9381431.21,142840.25,9238590.96,6467.78,72.77,126.0
influencer,x,north,mobile,25-34,winter,2023-01-06,21834.0,411409,8485,5457,445,203,1741,235,4.0,1710240.9,18987.76,1691253.14,8907.07,49.99,393.0
influencer,facebook,central,mobile,45-54,winter,2023-11-15,28280.0,557233,14525,23815,5686,2556,4102,288,4.8,3098205.97,25021.59,3073184.3800000004,12282.13,62.97,108.0
influencer,youtube,north,desktop,35-44,monsoon,2023-07-28,150948.0,1050319,41563,31191,3892,3303,6168,2197,3.9,20094920.18,140228.9,19954691.28,14230.08,31.76,224.0
affiliate,instagram,east,tablet,25-34,summer,2024-10-30,17776.0,122705,3739,5326,1151,665,783,188,3.6,1577950.72,14791.81,1563158.91,10567.73,32.24,210.0
email,google ads,north,mobile,55+,winter,2025-12-05,178236.0,1104869,41235,30701,2350,2579,11551,4403,4.4,33275152.64,145760.51,33129392.13,22728.65,50.7,335.0
affiliate,youtube,central,desktop,55+,winter,2024-01-03,57878.0,1153364,25950,12421,1323,1081,5602,2186,4.0,18032942.24,47759.65,17985182.59,37657.69,65.99,52.0
search,google ads,south,tablet,35-44,summer,2024-08-12,85672.0,766808,13175,13941,3173,649,4599,1068,4.2,1621808.74,69078.32,1552730.42,2247.78,73.2,136.0
social media,youtube,central,tablet,18-24,festive,2023-07-02,76314.0,1569068,28551,50879,6258,6058,1526,214,5.0,2900839.62,67643.86,2833195.76,4188.4,61.92,121.0
email,linkedin,north,tablet,45-54,festive,2024-04-24,87363.0,1177841,25123,39558,7208,5398,4014,983,5.0,16293001.38,81460.46,16211540.92,19901.12,50.04,135.0
email,google ads,east,desktop,25-34,summer,2024-04-29,11630.0,163065,4091,6681,908,869,1403,410,4.0,2743111.78,12267.31,2730844.47,22261.15,35.12,93.0
search,facebook,east,tablet,18-24,summer,2025-11-25,234482.0,1785293,52459,59911,14306,5840,4546,579,3.7,1953940.97,201258.2,1752682.77,870.86,79.58,85.0
search,instagram,south,mobile,18-24,monsoon,2025-12-24,39426.0,272985,9091,11589,2420,1056,2741,1081,4.3,7878000.84,40237.08,7837763.76,19478.96,67.0,93.0
affiliate,facebook,north,mobile,18-24,monsoon,2025-04-09,106503.0,599208,19648,27013,2843,3288,4021,1055,3.9,4165834.72,87066.32,4078768.4,4684.67,72.26,120.0
social media,x,central,desktop,55+,monsoon,2025-05-10,72623.0,919121,29908,32219,8031,1258,4484,574,2.7,270249.09,77927.94,192321.15,246.79,39.17,234.0
email,youtube,south,mobile,18-24,winter,2024-07-20,35591.0,529336,20337,19518,3996,752,3563,1241,4.1,10317344.13,28980.17,10288363.96,35501.39,66.0,182.0
email,linkedin,north,mobile,18-24,festive,2023-11-14,32054.0,484394,21924,16261,2975,569,5391,1529,4.2,21742338.49,31775.03,21710563.46,68325.86,25.93,203.0
affiliate,google ads,north,tablet,45-54,festive,2025-02-04,46999.0,872413,19563,17228,3782,979,4709,1841,4.3,9173999.28,43968.3,9130030.98,20765.03,62.67,287.0
influencer,google ads,west,mobile,18-24,monsoon,2025-11-22,80090.0,621388,23389,19080,3173,1898,9305,4298,4.2,36273391.71,70090.6,36203301.11,51652.15,50.04,139.0
search,facebook,north,desktop,18-24,winter,2023-02-18,31686.0,446067,6519,7203,1217,253,1639,176,3.6,1996201.8,27037.29,1969164.51,7283.14,51.84,156.0
search,youtube,west,tablet,35-44,winter,2024-02-19,159711.0,2476913,70799,93226,15293,3377,15696,3050,4.5,20741242.0,155347.95,20585894.05,13251.47,78.75,161.0
search,linkedin,south,mobile,45-54,summer,2024-05-14,73571.0,1251462,15602,24674,4418,2202,1020,272,3.4,1059855.47,69735.48,990119.99,1419.82,62.48,343.0
social media,facebook,south,mobile,25-34,festive,2024-06-15,44099.0,728566,17373,14129,1134,1823,2962,1118,4.0,4301866.54,37872.34,4263994.2,11258.86,41.31,187.0
affiliate,youtube,west,tablet,45-54,monsoon,2024-06-02,124101.0,1523996,51501,53758,3227,5607,14185,1110,3.7,9473636.46,100271.87,9373364.590000002,9347.95,74.04,229.0
affiliate,instagram,east,desktop,55+,winter,2025-11-03,208604.0,3405591,135962,201173,33584,20283,10715,1086,4.6,3424398.57,176065.12,3248333.45,1844.96,55.89,146.0
affiliate,x,south,mobile,35-44,winter,2025-05-15,159891.0,2630436,99253,93968,15487,12726,17887,4815,3.7,37399654.87,149921.04,37249733.83,24846.23,21.63,293.0
affiliate,google ads,central,desktop,35-44,winter,2025-07-21,64727.0,548524,18483,30732,6706,2227,7048,879,4.3,2215796.27,54768.18,2161028.09,3945.77,65.44,167.0
search,youtube,south,mobile,45-54,monsoon,2025-05-09,57234.0,791501,16008,25482,4946,932,949,116,4.5,471381.42,52871.42,418510.0,791.56,75.26,72.0
email,youtube,east,mobile,35-44,festive,2025-12-21,102866.0,2301550,64765,62863,10790,8390,3893,762,3.4,6738583.81,92022.4,6646561.409999999,7222.76,38.42,118.0
social media,youtube,east,desktop,45-54,monsoon,2023-03-11,51009.0,568499,15005,10199,1119,667,5247,831,4.6,1007498.87,51483.64,956015.23,1856.93,64.77,203.0
email,x,east,mobile,35-44,festive,2025-01-26,67478.0,691505,33315,53180,4715,5747,6283,1654,4.4,2045771.9,67132.22,1978639.68,2947.38,50.04,210.0
search,facebook,north,mobile,25-34,festive,2023-09-03,81452.0,1327845,18150,11314,1907,763,5392,1491,4.1,5237332.8,68768.21,5168564.59,7515.92,57.98,288.0
affiliate,youtube,south,desktop,18-24,summer,2023-12-31,98999.0,870657,36905,41892,2518,2527,12975,2767,4.2,6704125.36,102306.4,6601818.96,6452.99,64.08,119.0
affiliate,linkedin,south,tablet,45-54,monsoon,2023-04-16,33139.0,507183,14224,12668,1301,795,2289,319,3.2,2420631.93,33539.16,2387092.77,7117.33,44.58,257.0
email,instagram,south,tablet,35-44,festive,2025-04-08,58841.0,664146,14614,8391,1075,450,3245,811,4.0,4788390.79,48998.37,4739392.42,9672.55,69.58,131.0
affiliate,linkedin,east,desktop,55+,festive,2023-01-24,21972.0,318943,11387,8801,522,605,2921,711,4.7,7691361.3,20009.52,7671351.78,38338.51,26.58,252.0
influencer,facebook,west,desktop,55+,monsoon,2024-06-23,30390.0,457798,11047,14245,2354,659,2844,306,3.9,221054.78,25431.82,195622.96,769.21,38.17,271.0
search,google ads,west,tablet,18-24,festive,2024-08-31,49603.0,875116,27924,33951,5607,3760,1872,592,4.5,7738874.07,51564.85,7687309.220000001,14908.04,74.81,174.0
affiliate,x,central,mobile,55+,monsoon,2025-06-01,50534.0,633590,14828,18066,3701,579,2106,238,3.2,1594212.33,48010.86,1546201.47,3220.52,29.61,122.0
influencer,x,south,desktop,55+,monsoon,2023-09-02,74628.0,911235,24624,19015,4302,2810,2669,547,4.1,4838707.35,77600.81,4761106.54,6135.38,43.29,205.0
social media,google ads,north,mobile,25-34,festive,2025-09-25,76868.0,648567,15892,17947,2211,2502,6585,2232,4.0,6772320.01,69344.53,6702975.48,9666.19,25.81,348.0
affiliate,google ads,west,mobile,18-24,monsoon,2025-07-21,16441.0,127106,6020,7954,670,706,1591,250,3.8,398393.78,16720.97,381672.81000000006,2282.6,45.69,251.0
affiliate,facebook,north,tablet,25-34,festive,2023-09-19,28179.0,712948,21341,23718,2885,2838,3050,532,4.9,3831124.19,25390.64,3805733.55,14988.73,67.09,270.0
search,youtube,south,tablet,55+,summer,2025-06-25,34762.0,353312,8497,7506,375,509,1472,146,4.2,768022.85,33928.83,734094.02,2163.63,20.82,192.0
social media,x,east,mobile,55+,winter,2025-01-14,52891.0,761917,29430,13456,2943,1287,2188,595,4.9,4151213.69,49360.52,4101853.17,8309.99,70.52,193.0
social media,facebook,north,desktop,25-34,monsoon,2023-11-06,53532.0,448529,5845,10200,1781,826,1751,345,3.8,1797328.9,55272.12,1742056.7799999998,3151.78,43.04,143.0
